city,neighborhood,property_type,bedrooms,bathrooms,living_area_sqft,lot_size_sqft,year_built,garage,basement,sale_year,sale_price
Châteauguay,Centre-Ville,Townhouse,3,2,1160,2304.0,2022,yes,no,2024,326000
Trois-Rivières,Cap-de-la-Madeleine,Duplex,4,4,1807,5869.0,2006,no,yes,2025,444000
Lévis,Charny,Townhouse,3,1,803,3387.0,1989,yes,yes,2025,273000
Laval,Fabreville,Single Family,3,3,1083,11417.0,1972,yes,yes,2023,465000
Victoriaville,Centre-Ville,Single Family,4,3,2081,5682.0,1967,yes,yes,2023,458000
Montréal,Outremont,Townhouse,3,3,1036,3343.0,1939,no,yes,2023,383000
Sherbrooke,Lennoxville,Single Family,4,2,1767,4750.0,2007,yes,yes,2023,475000
Lévis,Saint-Nicolas,Townhouse,4,2,1178,2763.0,1956,no,no,2024,337000
Saint-Jérôme,Bellefeuille,Bungalow,4,1,1063,5380.0,1984,yes,yes,2025,386000
Longueuil,Vieux-Longueuil,Townhouse,3,1,1314,2791.0,2017,yes,no,2022,423000
Laval,Pont-Viau,Townhouse,3,2,1099,2811.0,2000,no,yes,2022,431000
Mirabel,Sainte-Monique,Single Family,4,2,1450,6792.0,1975,yes,no,2024,479000
Châteauguay,Centre-Ville,Single Family,4,3,1642,6265.0,1964,yes,yes,2021,383000
Val-d'Or,Val-d'Or Centre,Single Family,4,4,1259,7170.0,1962,yes,no,2023,284000
Laval,Duvernay,Duplex,5,3,1623,4816.0,1986,yes,yes,2023,648000
Châteauguay,Centre-Ville,Triplex,6,4,2371,5122.0,1987,no,yes,2024,559000
Montréal,Outremont,Bungalow,3,2,1149,4139.0,1989,yes,yes,2024,586000
Montréal,Verdun,Duplex,6,4,1984,5285.0,1955,no,yes,2024,723000
Mirabel,Sainte-Monique,Duplex,5,2,1612,4032.0,2023,yes,no,2025,589000
Saint-Jérôme,Bellefeuille,Townhouse,2,2,1085,2989.0,1977,yes,yes,2024,353000
Gatineau,Hull,Duplex,6,4,1558,7432.0,1969,yes,yes,2025,602000
Mirabel,Saint-Canut,Single Family,6,3,1537,4684.0,2023,yes,yes,2024,494000
Blainville,Blainville Centre,Single Family,4,1,1135,8155.0,1983,no,yes,2024,354000
